2023-10-11 09:44:31,043 - tune.py [line:203] - INFO: Namespace(seed=42, model='GPRGNN', gpu=0, dataset='geom-chameleon', logging=True, log_detail=True, log_detailedCh=False, id_log=1011014503, optuna_n_trials=202, n_epochs=2000, self_loop=True, udgraph=True, early_stop=True, patience=300, n_hidden=64, n_cv=1, start_cv=0, n_layers=8, lr1=0.05, lr2=0.03, wd1=1e-06, wd2=1e-07, dropout=0.2, dropout2=0.0, alpha=0.2, es_ckpt='TestTuningScript-geom-chameleon_geom-chameleon_trialNo14')
2023-10-11 09:44:31,849 - tune.py [line:128] - INFO: Split_seeds:[1824]
2023-10-11 09:44:31,849 - tune.py [line:129] - INFO: Model_seeds:[409]
2023-10-11 09:44:32,213 - tune.py [line:103] - INFO: Epoch 00020 | Time(s) 0.0169 | Val Loss 1.5374 | Val Acc 0.5516 | ETputs(KTEPS) 38521.52
2023-10-11 09:44:32,589 - tune.py [line:103] - INFO: Epoch 00040 | Time(s) 0.0177 | Val Loss 2.8672 | Val Acc 0.5802 | ETputs(KTEPS) 36754.27
2023-10-11 09:44:32,900 - tune.py [line:103] - INFO: Epoch 00060 | Time(s) 0.0169 | Val Loss 3.0791 | Val Acc 0.5956 | ETputs(KTEPS) 38454.37
2023-10-11 09:44:33,208 - tune.py [line:103] - INFO: Epoch 00080 | Time(s) 0.0165 | Val Loss 3.2436 | Val Acc 0.5692 | ETputs(KTEPS) 39339.21
2023-10-11 09:44:33,584 - tune.py [line:103] - INFO: Epoch 00100 | Time(s) 0.0170 | Val Loss 3.3066 | Val Acc 0.6022 | ETputs(KTEPS) 38301.13
2023-10-11 09:44:33,910 - tune.py [line:103] - INFO: Epoch 00120 | Time(s) 0.0169 | Val Loss 3.6196 | Val Acc 0.5956 | ETputs(KTEPS) 38567.66
2023-10-11 09:44:34,231 - tune.py [line:103] - INFO: Epoch 00140 | Time(s) 0.0167 | Val Loss 3.6996 | Val Acc 0.5934 | ETputs(KTEPS) 38877.57
2023-10-11 09:44:34,566 - tune.py [line:103] - INFO: Epoch 00160 | Time(s) 0.0167 | Val Loss 3.8322 | Val Acc 0.6044 | ETputs(KTEPS) 38869.59
2023-10-11 09:44:34,942 - tune.py [line:103] - INFO: Epoch 00180 | Time(s) 0.0170 | Val Loss 3.9917 | Val Acc 0.6154 | ETputs(KTEPS) 38350.28
2023-10-11 09:44:35,294 - tune.py [line:103] - INFO: Epoch 00200 | Time(s) 0.0170 | Val Loss 4.3592 | Val Acc 0.6022 | ETputs(KTEPS) 38207.71
2023-10-11 09:44:35,613 - tune.py [line:103] - INFO: Epoch 00220 | Time(s) 0.0169 | Val Loss 4.4393 | Val Acc 0.6110 | ETputs(KTEPS) 38436.37
2023-10-11 09:44:35,956 - tune.py [line:103] - INFO: Epoch 00240 | Time(s) 0.0169 | Val Loss 4.4620 | Val Acc 0.6198 | ETputs(KTEPS) 38396.42
2023-10-11 09:44:36,350 - tune.py [line:103] - INFO: Epoch 00260 | Time(s) 0.0171 | Val Loss 4.4362 | Val Acc 0.6088 | ETputs(KTEPS) 37922.62
2023-10-11 09:44:36,668 - tune.py [line:103] - INFO: Epoch 00280 | Time(s) 0.0170 | Val Loss 4.5787 | Val Acc 0.6132 | ETputs(KTEPS) 38138.50
2023-10-11 09:44:36,978 - tune.py [line:103] - INFO: Epoch 00300 | Time(s) 0.0169 | Val Loss 4.5707 | Val Acc 0.6000 | ETputs(KTEPS) 38376.09
2023-10-11 09:44:37,291 - tune.py [line:103] - INFO: Epoch 00320 | Time(s) 0.0169 | Val Loss 4.6025 | Val Acc 0.6198 | ETputs(KTEPS) 38563.40
2023-10-11 09:44:37,611 - tune.py [line:103] - INFO: Epoch 00340 | Time(s) 0.0168 | Val Loss 4.8787 | Val Acc 0.5934 | ETputs(KTEPS) 38677.13
2023-10-11 09:44:37,947 - tune.py [line:103] - INFO: Epoch 00360 | Time(s) 0.0168 | Val Loss 4.8153 | Val Acc 0.6000 | ETputs(KTEPS) 38686.29
2023-10-11 09:44:38,270 - tune.py [line:103] - INFO: Epoch 00380 | Time(s) 0.0168 | Val Loss 4.8719 | Val Acc 0.5956 | ETputs(KTEPS) 38769.44
2023-10-11 09:44:38,610 - tune.py [line:103] - INFO: Epoch 00400 | Time(s) 0.0168 | Val Loss 4.9236 | Val Acc 0.6176 | ETputs(KTEPS) 38742.88
