2023-10-11 09:56:13,265 - tune.py [line:203] - INFO: Namespace(seed=42, model='GPRGNN', gpu=0, dataset='geom-chameleon', logging=True, log_detail=True, log_detailedCh=False, id_log=1011014503, optuna_n_trials=202, n_epochs=2000, self_loop=True, udgraph=True, early_stop=True, patience=300, n_hidden=64, n_cv=1, start_cv=0, n_layers=4, lr1=0.05, lr2=0.05, wd1=1e-05, wd2=0.0001, dropout=0.1, dropout2=0.4, alpha=0.30000000000000004, es_ckpt='TestTuningScript-geom-chameleon_geom-chameleon_trialNo95')
2023-10-11 09:56:14,122 - tune.py [line:128] - INFO: Split_seeds:[1824]
2023-10-11 09:56:14,122 - tune.py [line:129] - INFO: Model_seeds:[409]
2023-10-11 09:56:14,411 - tune.py [line:103] - INFO: Epoch 00020 | Time(s) 0.0134 | Val Loss 1.6080 | Val Acc 0.5582 | ETputs(KTEPS) 48642.05
2023-10-11 09:56:14,693 - tune.py [line:103] - INFO: Epoch 00040 | Time(s) 0.0134 | Val Loss 2.3223 | Val Acc 0.5868 | ETputs(KTEPS) 48409.17
2023-10-11 09:56:14,996 - tune.py [line:103] - INFO: Epoch 00060 | Time(s) 0.0138 | Val Loss 2.1750 | Val Acc 0.5956 | ETputs(KTEPS) 46982.72
2023-10-11 09:56:15,275 - tune.py [line:103] - INFO: Epoch 00080 | Time(s) 0.0138 | Val Loss 2.2015 | Val Acc 0.6242 | ETputs(KTEPS) 47076.62
2023-10-11 09:56:15,542 - tune.py [line:103] - INFO: Epoch 00100 | Time(s) 0.0137 | Val Loss 2.3005 | Val Acc 0.6440 | ETputs(KTEPS) 47435.31
2023-10-11 09:56:15,809 - tune.py [line:103] - INFO: Epoch 00120 | Time(s) 0.0136 | Val Loss 2.5331 | Val Acc 0.6484 | ETputs(KTEPS) 47867.77
2023-10-11 09:56:16,075 - tune.py [line:103] - INFO: Epoch 00140 | Time(s) 0.0135 | Val Loss 2.6114 | Val Acc 0.6352 | ETputs(KTEPS) 48027.05
2023-10-11 09:56:16,393 - tune.py [line:103] - INFO: Epoch 00160 | Time(s) 0.0138 | Val Loss 2.7890 | Val Acc 0.6110 | ETputs(KTEPS) 47005.71
2023-10-11 09:56:16,656 - tune.py [line:103] - INFO: Epoch 00180 | Time(s) 0.0137 | Val Loss 2.6843 | Val Acc 0.6549 | ETputs(KTEPS) 47320.09
2023-10-11 09:56:16,934 - tune.py [line:103] - INFO: Epoch 00200 | Time(s) 0.0138 | Val Loss 2.9754 | Val Acc 0.6418 | ETputs(KTEPS) 47280.51
2023-10-11 09:56:17,228 - tune.py [line:103] - INFO: Epoch 00220 | Time(s) 0.0138 | Val Loss 2.9323 | Val Acc 0.6462 | ETputs(KTEPS) 47014.42
2023-10-11 09:56:17,495 - tune.py [line:103] - INFO: Epoch 00240 | Time(s) 0.0138 | Val Loss 3.0373 | Val Acc 0.6615 | ETputs(KTEPS) 47163.49
2023-10-11 09:56:17,782 - tune.py [line:103] - INFO: Epoch 00260 | Time(s) 0.0138 | Val Loss 3.1227 | Val Acc 0.6527 | ETputs(KTEPS) 47018.85
