2023-10-13 14:39:36,352 - tune.py [line:203] - INFO: Namespace(seed=42, model='NormalNNV2', gpu=1, dataset='geom-squirrel', logging=True, log_detail=True, log_detailedCh=False, id_log=1013014503, optuna_n_trials=202, n_epochs=2000, self_loop=False, udgraph=True, early_stop=True, patience=300, n_hidden=64, n_cv=1, start_cv=0, n_layers=12, lr1=0.03, lr2=0.04, wd1=1e-05, wd2=0.001, dropout=0.3, dropout2=0.3, es_ckpt='woselfloop-geom-squirrel_NormalNNV2-geom-squirrel_trialNo58')
2023-10-13 14:39:38,830 - tune.py [line:128] - INFO: Split_seeds:[1824]
2023-10-13 14:39:38,830 - tune.py [line:129] - INFO: Model_seeds:[409]
2023-10-13 14:39:39,729 - tune.py [line:103] - INFO: Epoch 00020 | Time(s) 0.0432 | Val Loss 1.5953 | Val Acc 0.4346 | ETputs(KTEPS) 91749.45
2023-10-13 14:39:40,556 - tune.py [line:103] - INFO: Epoch 00040 | Time(s) 0.0417 | Val Loss 1.5833 | Val Acc 0.4942 | ETputs(KTEPS) 95169.07
2023-10-13 14:39:41,434 - tune.py [line:103] - INFO: Epoch 00060 | Time(s) 0.0423 | Val Loss 1.5817 | Val Acc 0.5221 | ETputs(KTEPS) 93686.79
2023-10-13 14:39:42,335 - tune.py [line:103] - INFO: Epoch 00080 | Time(s) 0.0429 | Val Loss 1.5798 | Val Acc 0.5317 | ETputs(KTEPS) 92495.33
2023-10-13 14:39:43,241 - tune.py [line:103] - INFO: Epoch 00100 | Time(s) 0.0433 | Val Loss 1.5790 | Val Acc 0.5365 | ETputs(KTEPS) 91514.34
2023-10-13 14:39:44,045 - tune.py [line:103] - INFO: Epoch 00120 | Time(s) 0.0428 | Val Loss 1.5826 | Val Acc 0.4260 | ETputs(KTEPS) 92721.97
2023-10-13 14:39:44,937 - tune.py [line:103] - INFO: Epoch 00140 | Time(s) 0.0430 | Val Loss 1.5831 | Val Acc 0.5250 | ETputs(KTEPS) 92175.42
2023-10-13 14:39:45,781 - tune.py [line:103] - INFO: Epoch 00160 | Time(s) 0.0429 | Val Loss 1.5786 | Val Acc 0.5596 | ETputs(KTEPS) 92438.95
2023-10-13 14:39:46,656 - tune.py [line:103] - INFO: Epoch 00180 | Time(s) 0.0430 | Val Loss 1.5786 | Val Acc 0.5423 | ETputs(KTEPS) 92243.47
2023-10-13 14:39:47,509 - tune.py [line:103] - INFO: Epoch 00200 | Time(s) 0.0430 | Val Loss 1.5789 | Val Acc 0.5442 | ETputs(KTEPS) 92325.40
2023-10-13 14:39:48,316 - tune.py [line:103] - INFO: Epoch 00220 | Time(s) 0.0427 | Val Loss 1.5777 | Val Acc 0.5683 | ETputs(KTEPS) 92848.01
2023-10-13 14:39:49,211 - tune.py [line:103] - INFO: Epoch 00240 | Time(s) 0.0429 | Val Loss 1.5785 | Val Acc 0.5548 | ETputs(KTEPS) 92483.15
2023-10-13 14:39:50,036 - tune.py [line:103] - INFO: Epoch 00260 | Time(s) 0.0428 | Val Loss 1.5790 | Val Acc 0.5452 | ETputs(KTEPS) 92760.63
2023-10-13 14:39:50,864 - tune.py [line:103] - INFO: Epoch 00280 | Time(s) 0.0427 | Val Loss 1.5790 | Val Acc 0.5269 | ETputs(KTEPS) 92980.49
2023-10-13 14:39:51,668 - tune.py [line:103] - INFO: Epoch 00300 | Time(s) 0.0425 | Val Loss 1.5786 | Val Acc 0.5462 | ETputs(KTEPS) 93341.00
2023-10-13 14:39:52,492 - tune.py [line:103] - INFO: Epoch 00320 | Time(s) 0.0424 | Val Loss 1.5776 | Val Acc 0.5721 | ETputs(KTEPS) 93522.73
2023-10-13 14:39:53,379 - tune.py [line:103] - INFO: Epoch 00340 | Time(s) 0.0425 | Val Loss 1.5792 | Val Acc 0.5365 | ETputs(KTEPS) 93288.09
2023-10-13 14:39:54,257 - tune.py [line:103] - INFO: Epoch 00360 | Time(s) 0.0426 | Val Loss 1.5776 | Val Acc 0.5365 | ETputs(KTEPS) 93122.80
2023-10-13 14:39:55,133 - tune.py [line:103] - INFO: Epoch 00380 | Time(s) 0.0427 | Val Loss 1.5787 | Val Acc 0.5519 | ETputs(KTEPS) 92990.72
2023-10-13 14:39:55,957 - tune.py [line:103] - INFO: Epoch 00400 | Time(s) 0.0426 | Val Loss 1.5769 | Val Acc 0.5692 | ETputs(KTEPS) 93150.42
2023-10-13 14:39:56,811 - tune.py [line:103] - INFO: Epoch 00420 | Time(s) 0.0426 | Val Loss 1.5788 | Val Acc 0.5500 | ETputs(KTEPS) 93140.71
2023-10-13 14:39:57,697 - tune.py [line:103] - INFO: Epoch 00440 | Time(s) 0.0427 | Val Loss 1.5774 | Val Acc 0.5635 | ETputs(KTEPS) 92978.23
2023-10-13 14:39:58,644 - tune.py [line:103] - INFO: Epoch 00460 | Time(s) 0.0429 | Val Loss 1.5799 | Val Acc 0.5288 | ETputs(KTEPS) 92539.31
2023-10-13 14:39:59,486 - tune.py [line:103] - INFO: Epoch 00480 | Time(s) 0.0428 | Val Loss 1.5789 | Val Acc 0.5481 | ETputs(KTEPS) 92608.06
2023-10-13 14:40:00,322 - tune.py [line:103] - INFO: Epoch 00500 | Time(s) 0.0428 | Val Loss 1.5782 | Val Acc 0.5529 | ETputs(KTEPS) 92699.88
