2023-10-13 14:46:09,206 - tune.py [line:203] - INFO: Namespace(seed=42, model='NormalNNV2', gpu=1, dataset='geom-squirrel', logging=True, log_detail=True, log_detailedCh=False, id_log=1013014503, optuna_n_trials=202, n_epochs=2000, self_loop=False, udgraph=True, early_stop=True, patience=300, n_hidden=64, n_cv=1, start_cv=0, n_layers=16, lr1=0.005, lr2=0.04, wd1=1e-07, wd2=1e-07, dropout=0.0, dropout2=0.3, es_ckpt='woselfloop-geom-squirrel_NormalNNV2-geom-squirrel_trialNo125')
2023-10-13 14:46:11,921 - tune.py [line:128] - INFO: Split_seeds:[1824]
2023-10-13 14:46:11,921 - tune.py [line:129] - INFO: Model_seeds:[409]
2023-10-13 14:46:12,967 - tune.py [line:103] - INFO: Epoch 00020 | Time(s) 0.0502 | Val Loss 1.5861 | Val Acc 0.4663 | ETputs(KTEPS) 79096.82
2023-10-13 14:46:13,983 - tune.py [line:103] - INFO: Epoch 00040 | Time(s) 0.0498 | Val Loss 1.5546 | Val Acc 0.5298 | ETputs(KTEPS) 79605.16
2023-10-13 14:46:14,986 - tune.py [line:103] - INFO: Epoch 00060 | Time(s) 0.0499 | Val Loss 1.5230 | Val Acc 0.5298 | ETputs(KTEPS) 79450.64
2023-10-13 14:46:16,000 - tune.py [line:103] - INFO: Epoch 00080 | Time(s) 0.0501 | Val Loss 1.4905 | Val Acc 0.5548 | ETputs(KTEPS) 79244.87
2023-10-13 14:46:17,000 - tune.py [line:103] - INFO: Epoch 00100 | Time(s) 0.0501 | Val Loss 1.4638 | Val Acc 0.5606 | ETputs(KTEPS) 79260.85
2023-10-13 14:46:18,019 - tune.py [line:103] - INFO: Epoch 00120 | Time(s) 0.0502 | Val Loss 1.4373 | Val Acc 0.5615 | ETputs(KTEPS) 79028.82
2023-10-13 14:46:19,125 - tune.py [line:103] - INFO: Epoch 00140 | Time(s) 0.0509 | Val Loss 1.4097 | Val Acc 0.5606 | ETputs(KTEPS) 77964.92
2023-10-13 14:46:20,131 - tune.py [line:103] - INFO: Epoch 00160 | Time(s) 0.0508 | Val Loss 1.3890 | Val Acc 0.5625 | ETputs(KTEPS) 78079.26
2023-10-13 14:46:21,137 - tune.py [line:103] - INFO: Epoch 00180 | Time(s) 0.0507 | Val Loss 1.3827 | Val Acc 0.5442 | ETputs(KTEPS) 78171.37
2023-10-13 14:46:22,142 - tune.py [line:103] - INFO: Epoch 00200 | Time(s) 0.0507 | Val Loss 1.3529 | Val Acc 0.5558 | ETputs(KTEPS) 78247.14
2023-10-13 14:46:23,116 - tune.py [line:103] - INFO: Epoch 00220 | Time(s) 0.0505 | Val Loss 1.3312 | Val Acc 0.5635 | ETputs(KTEPS) 78536.16
2023-10-13 14:46:24,103 - tune.py [line:103] - INFO: Epoch 00240 | Time(s) 0.0504 | Val Loss 1.3145 | Val Acc 0.5644 | ETputs(KTEPS) 78686.83
2023-10-13 14:46:25,082 - tune.py [line:103] - INFO: Epoch 00260 | Time(s) 0.0503 | Val Loss 1.3237 | Val Acc 0.5269 | ETputs(KTEPS) 78881.13
2023-10-13 14:46:26,085 - tune.py [line:103] - INFO: Epoch 00280 | Time(s) 0.0503 | Val Loss 1.2967 | Val Acc 0.5654 | ETputs(KTEPS) 78899.43
2023-10-13 14:46:27,116 - tune.py [line:103] - INFO: Epoch 00300 | Time(s) 0.0504 | Val Loss 1.2883 | Val Acc 0.5558 | ETputs(KTEPS) 78768.78
2023-10-13 14:46:28,172 - tune.py [line:103] - INFO: Epoch 00320 | Time(s) 0.0505 | Val Loss 1.2730 | Val Acc 0.5683 | ETputs(KTEPS) 78534.27
2023-10-13 14:46:29,212 - tune.py [line:103] - INFO: Epoch 00340 | Time(s) 0.0506 | Val Loss 1.2590 | Val Acc 0.5635 | ETputs(KTEPS) 78402.48
2023-10-13 14:46:30,205 - tune.py [line:103] - INFO: Epoch 00360 | Time(s) 0.0505 | Val Loss 1.2562 | Val Acc 0.5644 | ETputs(KTEPS) 78485.89
2023-10-13 14:46:31,318 - tune.py [line:103] - INFO: Epoch 00380 | Time(s) 0.0508 | Val Loss 1.2434 | Val Acc 0.5663 | ETputs(KTEPS) 78072.40
2023-10-13 14:46:32,409 - tune.py [line:103] - INFO: Epoch 00400 | Time(s) 0.0510 | Val Loss 1.2478 | Val Acc 0.5635 | ETputs(KTEPS) 77787.08
2023-10-13 14:46:33,412 - tune.py [line:103] - INFO: Epoch 00420 | Time(s) 0.0509 | Val Loss 1.3317 | Val Acc 0.5221 | ETputs(KTEPS) 77862.45
2023-10-13 14:46:34,416 - tune.py [line:103] - INFO: Epoch 00440 | Time(s) 0.0509 | Val Loss 1.2560 | Val Acc 0.5587 | ETputs(KTEPS) 77914.65
2023-10-13 14:46:35,468 - tune.py [line:103] - INFO: Epoch 00460 | Time(s) 0.0510 | Val Loss 1.2382 | Val Acc 0.5606 | ETputs(KTEPS) 77805.17
2023-10-13 14:46:36,489 - tune.py [line:103] - INFO: Epoch 00480 | Time(s) 0.0510 | Val Loss 1.2529 | Val Acc 0.5615 | ETputs(KTEPS) 77804.39
2023-10-13 14:46:37,457 - tune.py [line:103] - INFO: Epoch 00500 | Time(s) 0.0509 | Val Loss 1.3007 | Val Acc 0.5413 | ETputs(KTEPS) 77962.37
2023-10-13 14:46:38,326 - tune.py [line:103] - INFO: Epoch 00520 | Time(s) 0.0506 | Val Loss 1.2455 | Val Acc 0.5548 | ETputs(KTEPS) 78403.75
2023-10-13 14:46:39,201 - tune.py [line:103] - INFO: Epoch 00540 | Time(s) 0.0503 | Val Loss 1.2301 | Val Acc 0.5683 | ETputs(KTEPS) 78800.37
2023-10-13 14:46:40,200 - tune.py [line:103] - INFO: Epoch 00560 | Time(s) 0.0503 | Val Loss 1.2172 | Val Acc 0.5865 | ETputs(KTEPS) 78830.70
2023-10-13 14:46:41,192 - tune.py [line:103] - INFO: Epoch 00580 | Time(s) 0.0503 | Val Loss 1.2250 | Val Acc 0.5721 | ETputs(KTEPS) 78876.25
