2023-10-13 15:51:01,487 - tune.py [line:203] - INFO: Namespace(seed=42, model='GPRGNN', gpu=1, dataset='geom-squirrel', logging=True, log_detail=True, log_detailedCh=False, id_log=1013014505, optuna_n_trials=202, n_epochs=2000, self_loop=False, udgraph=True, early_stop=True, patience=300, n_hidden=64, n_cv=1, start_cv=0, n_layers=8, lr1=0.04, lr2=0.03, wd1=1e-06, wd2=1e-06, dropout=0.1, dropout2=0.8, alpha=0.7000000000000001, es_ckpt='woselfloop-geom-squirrel_GPRGNN-geom-squirrel_trialNo28')
2023-10-13 15:51:04,011 - tune.py [line:128] - INFO: Split_seeds:[1824]
2023-10-13 15:51:04,012 - tune.py [line:129] - INFO: Model_seeds:[409]
2023-10-13 15:51:04,383 - tune.py [line:103] - INFO: Epoch 00020 | Time(s) 0.0174 | Val Loss 1.5464 | Val Acc 0.3240 | ETputs(KTEPS) 228475.45
2023-10-13 15:51:04,765 - tune.py [line:103] - INFO: Epoch 00040 | Time(s) 0.0178 | Val Loss 1.5790 | Val Acc 0.3779 | ETputs(KTEPS) 222838.65
2023-10-13 15:51:05,173 - tune.py [line:103] - INFO: Epoch 00060 | Time(s) 0.0182 | Val Loss 1.6871 | Val Acc 0.4183 | ETputs(KTEPS) 217386.26
2023-10-13 15:51:05,578 - tune.py [line:103] - INFO: Epoch 00080 | Time(s) 0.0186 | Val Loss 1.7269 | Val Acc 0.4317 | ETputs(KTEPS) 213349.50
2023-10-13 15:51:05,956 - tune.py [line:103] - INFO: Epoch 00100 | Time(s) 0.0185 | Val Loss 1.7127 | Val Acc 0.4558 | ETputs(KTEPS) 214144.17
2023-10-13 15:51:06,336 - tune.py [line:103] - INFO: Epoch 00120 | Time(s) 0.0186 | Val Loss 1.7473 | Val Acc 0.4615 | ETputs(KTEPS) 213681.63
2023-10-13 15:51:06,653 - tune.py [line:103] - INFO: Epoch 00140 | Time(s) 0.0181 | Val Loss 1.6698 | Val Acc 0.4596 | ETputs(KTEPS) 218922.64
2023-10-13 15:51:06,951 - tune.py [line:103] - INFO: Epoch 00160 | Time(s) 0.0177 | Val Loss 1.6418 | Val Acc 0.4798 | ETputs(KTEPS) 224257.37
2023-10-13 15:51:07,303 - tune.py [line:103] - INFO: Epoch 00180 | Time(s) 0.0176 | Val Loss 1.6294 | Val Acc 0.4923 | ETputs(KTEPS) 224975.45
2023-10-13 15:51:07,649 - tune.py [line:103] - INFO: Epoch 00200 | Time(s) 0.0176 | Val Loss 1.6701 | Val Acc 0.4875 | ETputs(KTEPS) 225759.76
2023-10-13 15:51:07,968 - tune.py [line:103] - INFO: Epoch 00220 | Time(s) 0.0174 | Val Loss 1.6204 | Val Acc 0.5038 | ETputs(KTEPS) 228289.44
2023-10-13 15:51:08,319 - tune.py [line:103] - INFO: Epoch 00240 | Time(s) 0.0174 | Val Loss 1.5849 | Val Acc 0.5067 | ETputs(KTEPS) 228291.45
2023-10-13 15:51:08,646 - tune.py [line:103] - INFO: Epoch 00260 | Time(s) 0.0173 | Val Loss 1.5681 | Val Acc 0.5240 | ETputs(KTEPS) 229692.38
2023-10-13 15:51:08,978 - tune.py [line:103] - INFO: Epoch 00280 | Time(s) 0.0172 | Val Loss 1.6411 | Val Acc 0.5077 | ETputs(KTEPS) 230460.90
2023-10-13 15:51:09,307 - tune.py [line:103] - INFO: Epoch 00300 | Time(s) 0.0171 | Val Loss 1.6167 | Val Acc 0.5163 | ETputs(KTEPS) 231395.39
2023-10-13 15:51:09,642 - tune.py [line:103] - INFO: Epoch 00320 | Time(s) 0.0171 | Val Loss 1.5784 | Val Acc 0.5337 | ETputs(KTEPS) 232100.41
2023-10-13 15:51:09,977 - tune.py [line:103] - INFO: Epoch 00340 | Time(s) 0.0171 | Val Loss 1.5876 | Val Acc 0.5260 | ETputs(KTEPS) 232373.98
2023-10-13 15:51:10,343 - tune.py [line:103] - INFO: Epoch 00360 | Time(s) 0.0171 | Val Loss 1.5786 | Val Acc 0.5394 | ETputs(KTEPS) 231479.01
2023-10-13 15:51:10,691 - tune.py [line:103] - INFO: Epoch 00380 | Time(s) 0.0172 | Val Loss 1.5679 | Val Acc 0.5279 | ETputs(KTEPS) 231310.55
2023-10-13 15:51:11,046 - tune.py [line:103] - INFO: Epoch 00400 | Time(s) 0.0172 | Val Loss 1.5314 | Val Acc 0.5337 | ETputs(KTEPS) 230931.38
2023-10-13 15:51:11,396 - tune.py [line:103] - INFO: Epoch 00420 | Time(s) 0.0172 | Val Loss 1.6343 | Val Acc 0.5413 | ETputs(KTEPS) 230879.23
2023-10-13 15:51:11,721 - tune.py [line:103] - INFO: Epoch 00440 | Time(s) 0.0171 | Val Loss 1.6300 | Val Acc 0.5423 | ETputs(KTEPS) 231447.92
2023-10-13 15:51:12,047 - tune.py [line:103] - INFO: Epoch 00460 | Time(s) 0.0171 | Val Loss 1.5605 | Val Acc 0.5462 | ETputs(KTEPS) 231949.13
2023-10-13 15:51:12,382 - tune.py [line:103] - INFO: Epoch 00480 | Time(s) 0.0171 | Val Loss 1.5503 | Val Acc 0.5500 | ETputs(KTEPS) 232175.66
2023-10-13 15:51:12,721 - tune.py [line:103] - INFO: Epoch 00500 | Time(s) 0.0171 | Val Loss 1.5257 | Val Acc 0.5356 | ETputs(KTEPS) 232261.00
2023-10-13 15:51:13,041 - tune.py [line:103] - INFO: Epoch 00520 | Time(s) 0.0170 | Val Loss 1.5453 | Val Acc 0.5346 | ETputs(KTEPS) 232831.65
2023-10-13 15:51:13,375 - tune.py [line:103] - INFO: Epoch 00540 | Time(s) 0.0170 | Val Loss 1.5732 | Val Acc 0.5519 | ETputs(KTEPS) 233022.11
2023-10-13 15:51:13,712 - tune.py [line:103] - INFO: Epoch 00560 | Time(s) 0.0170 | Val Loss 1.6074 | Val Acc 0.5442 | ETputs(KTEPS) 233195.47
2023-10-13 15:51:14,047 - tune.py [line:103] - INFO: Epoch 00580 | Time(s) 0.0170 | Val Loss 1.5882 | Val Acc 0.5529 | ETputs(KTEPS) 233325.45
2023-10-13 15:51:14,463 - tune.py [line:103] - INFO: Epoch 00600 | Time(s) 0.0171 | Val Loss 1.6213 | Val Acc 0.5577 | ETputs(KTEPS) 231686.70
2023-10-13 15:51:14,908 - tune.py [line:103] - INFO: Epoch 00620 | Time(s) 0.0173 | Val Loss 1.6086 | Val Acc 0.5481 | ETputs(KTEPS) 229499.59
2023-10-13 15:51:15,265 - tune.py [line:103] - INFO: Epoch 00640 | Time(s) 0.0173 | Val Loss 1.6077 | Val Acc 0.5538 | ETputs(KTEPS) 229306.55
2023-10-13 15:51:15,583 - tune.py [line:103] - INFO: Epoch 00660 | Time(s) 0.0173 | Val Loss 1.5813 | Val Acc 0.5519 | ETputs(KTEPS) 229890.86
2023-10-13 15:51:15,912 - tune.py [line:103] - INFO: Epoch 00680 | Time(s) 0.0172 | Val Loss 1.5798 | Val Acc 0.5615 | ETputs(KTEPS) 230260.64
2023-10-13 15:51:16,243 - tune.py [line:103] - INFO: Epoch 00700 | Time(s) 0.0172 | Val Loss 1.5410 | Val Acc 0.5615 | ETputs(KTEPS) 230560.51
2023-10-13 15:51:16,561 - tune.py [line:103] - INFO: Epoch 00720 | Time(s) 0.0172 | Val Loss 1.5685 | Val Acc 0.5654 | ETputs(KTEPS) 231046.80
2023-10-13 15:51:16,866 - tune.py [line:103] - INFO: Epoch 00740 | Time(s) 0.0171 | Val Loss 1.5866 | Val Acc 0.5596 | ETputs(KTEPS) 231766.72
2023-10-13 15:51:17,184 - tune.py [line:103] - INFO: Epoch 00760 | Time(s) 0.0171 | Val Loss 1.5995 | Val Acc 0.5567 | ETputs(KTEPS) 232206.25
2023-10-13 15:51:17,516 - tune.py [line:103] - INFO: Epoch 00780 | Time(s) 0.0171 | Val Loss 1.6215 | Val Acc 0.5615 | ETputs(KTEPS) 232413.51
2023-10-13 15:51:17,854 - tune.py [line:103] - INFO: Epoch 00800 | Time(s) 0.0171 | Val Loss 1.6469 | Val Acc 0.5577 | ETputs(KTEPS) 232484.15
2023-10-13 15:51:18,195 - tune.py [line:103] - INFO: Epoch 00820 | Time(s) 0.0171 | Val Loss 1.6104 | Val Acc 0.5615 | ETputs(KTEPS) 232489.96
2023-10-13 15:51:18,526 - tune.py [line:103] - INFO: Epoch 00840 | Time(s) 0.0170 | Val Loss 1.5745 | Val Acc 0.5510 | ETputs(KTEPS) 232672.23
2023-10-13 15:51:18,871 - tune.py [line:103] - INFO: Epoch 00860 | Time(s) 0.0171 | Val Loss 1.6571 | Val Acc 0.5529 | ETputs(KTEPS) 232617.05
2023-10-13 15:51:19,217 - tune.py [line:103] - INFO: Epoch 00880 | Time(s) 0.0171 | Val Loss 1.6334 | Val Acc 0.5635 | ETputs(KTEPS) 232547.99
2023-10-13 15:51:19,556 - tune.py [line:103] - INFO: Epoch 00900 | Time(s) 0.0171 | Val Loss 1.5830 | Val Acc 0.5702 | ETputs(KTEPS) 232591.99
2023-10-13 15:51:19,893 - tune.py [line:103] - INFO: Epoch 00920 | Time(s) 0.0170 | Val Loss 1.5945 | Val Acc 0.5769 | ETputs(KTEPS) 232734.57
2023-10-13 15:51:20,163 - tune.py [line:103] - INFO: Epoch 00940 | Time(s) 0.0170 | Val Loss 1.5798 | Val Acc 0.5692 | ETputs(KTEPS) 233829.87
2023-10-13 15:51:20,457 - tune.py [line:103] - INFO: Epoch 00960 | Time(s) 0.0169 | Val Loss 1.6584 | Val Acc 0.5577 | ETputs(KTEPS) 234488.66
2023-10-13 15:51:20,780 - tune.py [line:103] - INFO: Epoch 00980 | Time(s) 0.0169 | Val Loss 1.5660 | Val Acc 0.5625 | ETputs(KTEPS) 234718.55
2023-10-13 15:51:21,102 - tune.py [line:103] - INFO: Epoch 01000 | Time(s) 0.0169 | Val Loss 1.6401 | Val Acc 0.5596 | ETputs(KTEPS) 234953.37
2023-10-13 15:51:21,436 - tune.py [line:103] - INFO: Epoch 01020 | Time(s) 0.0169 | Val Loss 1.5921 | Val Acc 0.5519 | ETputs(KTEPS) 235005.56
2023-10-13 15:51:21,760 - tune.py [line:103] - INFO: Epoch 01040 | Time(s) 0.0169 | Val Loss 1.6322 | Val Acc 0.5558 | ETputs(KTEPS) 235189.11
2023-10-13 15:51:22,104 - tune.py [line:103] - INFO: Epoch 01060 | Time(s) 0.0169 | Val Loss 1.6480 | Val Acc 0.5538 | ETputs(KTEPS) 235110.36
2023-10-13 15:51:22,444 - tune.py [line:103] - INFO: Epoch 01080 | Time(s) 0.0169 | Val Loss 1.6426 | Val Acc 0.5606 | ETputs(KTEPS) 235083.25
2023-10-13 15:51:22,776 - tune.py [line:103] - INFO: Epoch 01100 | Time(s) 0.0169 | Val Loss 1.5254 | Val Acc 0.5635 | ETputs(KTEPS) 235158.39
2023-10-13 15:51:23,123 - tune.py [line:103] - INFO: Epoch 01120 | Time(s) 0.0169 | Val Loss 1.6414 | Val Acc 0.5606 | ETputs(KTEPS) 235057.08
2023-10-13 15:51:23,462 - tune.py [line:103] - INFO: Epoch 01140 | Time(s) 0.0169 | Val Loss 1.6500 | Val Acc 0.5606 | ETputs(KTEPS) 235041.17
2023-10-13 15:51:23,798 - tune.py [line:103] - INFO: Epoch 01160 | Time(s) 0.0169 | Val Loss 1.6064 | Val Acc 0.5644 | ETputs(KTEPS) 235069.13
2023-10-13 15:51:24,125 - tune.py [line:103] - INFO: Epoch 01180 | Time(s) 0.0169 | Val Loss 1.5776 | Val Acc 0.5673 | ETputs(KTEPS) 235206.19
2023-10-13 15:51:24,454 - tune.py [line:103] - INFO: Epoch 01200 | Time(s) 0.0169 | Val Loss 1.5185 | Val Acc 0.5779 | ETputs(KTEPS) 235350.85
2023-10-13 15:51:24,779 - tune.py [line:103] - INFO: Epoch 01220 | Time(s) 0.0168 | Val Loss 1.5885 | Val Acc 0.5702 | ETputs(KTEPS) 235496.31
2023-10-13 15:51:25,130 - tune.py [line:103] - INFO: Epoch 01240 | Time(s) 0.0169 | Val Loss 1.5877 | Val Acc 0.5740 | ETputs(KTEPS) 235349.51
2023-10-13 15:51:25,456 - tune.py [line:103] - INFO: Epoch 01260 | Time(s) 0.0168 | Val Loss 1.5453 | Val Acc 0.5750 | ETputs(KTEPS) 235494.38
2023-10-13 15:51:25,774 - tune.py [line:103] - INFO: Epoch 01280 | Time(s) 0.0168 | Val Loss 1.6236 | Val Acc 0.5673 | ETputs(KTEPS) 235708.10
2023-10-13 15:51:26,099 - tune.py [line:103] - INFO: Epoch 01300 | Time(s) 0.0168 | Val Loss 1.6283 | Val Acc 0.5663 | ETputs(KTEPS) 235844.25
2023-10-13 15:51:26,350 - tune.py [line:103] - INFO: Epoch 01320 | Time(s) 0.0168 | Val Loss 1.6660 | Val Acc 0.5635 | ETputs(KTEPS) 236752.98
2023-10-13 15:51:26,602 - tune.py [line:103] - INFO: Epoch 01340 | Time(s) 0.0167 | Val Loss 1.6599 | Val Acc 0.5615 | ETputs(KTEPS) 237645.62
2023-10-13 15:51:26,930 - tune.py [line:103] - INFO: Epoch 01360 | Time(s) 0.0167 | Val Loss 1.6507 | Val Acc 0.5625 | ETputs(KTEPS) 237709.19
2023-10-13 15:51:27,295 - tune.py [line:103] - INFO: Epoch 01380 | Time(s) 0.0167 | Val Loss 1.5909 | Val Acc 0.5673 | ETputs(KTEPS) 237392.06
2023-10-13 15:51:27,630 - tune.py [line:103] - INFO: Epoch 01400 | Time(s) 0.0167 | Val Loss 1.5904 | Val Acc 0.5625 | ETputs(KTEPS) 237394.74
2023-10-13 15:51:27,993 - tune.py [line:103] - INFO: Epoch 01420 | Time(s) 0.0167 | Val Loss 1.6468 | Val Acc 0.5596 | ETputs(KTEPS) 237116.39
2023-10-13 15:51:28,332 - tune.py [line:103] - INFO: Epoch 01440 | Time(s) 0.0167 | Val Loss 1.5652 | Val Acc 0.5712 | ETputs(KTEPS) 237073.17
2023-10-13 15:51:28,663 - tune.py [line:103] - INFO: Epoch 01460 | Time(s) 0.0167 | Val Loss 1.7149 | Val Acc 0.5779 | ETputs(KTEPS) 237121.79
2023-10-13 15:51:29,020 - tune.py [line:103] - INFO: Epoch 01480 | Time(s) 0.0167 | Val Loss 1.5871 | Val Acc 0.5654 | ETputs(KTEPS) 236910.93
2023-10-13 15:51:29,356 - tune.py [line:103] - INFO: Epoch 01500 | Time(s) 0.0167 | Val Loss 1.6311 | Val Acc 0.5692 | ETputs(KTEPS) 236905.01
