2023-10-14 04:04:39,202 - tune.py [line:203] - INFO: Namespace(seed=42, model='GPRGNNV2', gpu=1, dataset='geom-squirrel', logging=True, log_detail=True, log_detailedCh=False, id_log=1014014501, optuna_n_trials=202, n_epochs=2000, self_loop=False, udgraph=True, early_stop=True, patience=300, n_hidden=64, n_cv=1, start_cv=0, n_layers=12, lr1=0.05, lr2=0.03, wd1=1e-07, wd2=1e-08, dropout=0.6, dropout2=0.8, alpha=0.7000000000000001, es_ckpt='woselfloop-geom-squirrel_GPRGNNV2-geom-squirrel_trialNo36')
2023-10-14 04:04:41,868 - tune.py [line:128] - INFO: Split_seeds:[1824]
2023-10-14 04:04:41,868 - tune.py [line:129] - INFO: Model_seeds:[409]
2023-10-14 04:04:43,027 - tune.py [line:103] - INFO: Epoch 00020 | Time(s) 0.0562 | Val Loss 1.5047 | Val Acc 0.3558 | ETputs(KTEPS) 70611.15
2023-10-14 04:04:44,056 - tune.py [line:103] - INFO: Epoch 00040 | Time(s) 0.0536 | Val Loss 1.4586 | Val Acc 0.3837 | ETputs(KTEPS) 74036.80
2023-10-14 04:04:45,219 - tune.py [line:103] - INFO: Epoch 00060 | Time(s) 0.0547 | Val Loss 1.4056 | Val Acc 0.4067 | ETputs(KTEPS) 72490.02
2023-10-14 04:04:46,388 - tune.py [line:103] - INFO: Epoch 00080 | Time(s) 0.0555 | Val Loss 1.3969 | Val Acc 0.4087 | ETputs(KTEPS) 71430.56
2023-10-14 04:04:47,387 - tune.py [line:103] - INFO: Epoch 00100 | Time(s) 0.0544 | Val Loss 1.3721 | Val Acc 0.4346 | ETputs(KTEPS) 72948.84
2023-10-14 04:04:48,474 - tune.py [line:103] - INFO: Epoch 00120 | Time(s) 0.0543 | Val Loss 1.3675 | Val Acc 0.4423 | ETputs(KTEPS) 73018.46
2023-10-14 04:04:49,479 - tune.py [line:103] - INFO: Epoch 00140 | Time(s) 0.0537 | Val Loss 1.3588 | Val Acc 0.4404 | ETputs(KTEPS) 73857.65
2023-10-14 04:04:50,633 - tune.py [line:103] - INFO: Epoch 00160 | Time(s) 0.0541 | Val Loss 1.3511 | Val Acc 0.4433 | ETputs(KTEPS) 73263.69
2023-10-14 04:04:51,749 - tune.py [line:103] - INFO: Epoch 00180 | Time(s) 0.0543 | Val Loss 1.3379 | Val Acc 0.4769 | ETputs(KTEPS) 73051.25
2023-10-14 04:04:52,813 - tune.py [line:103] - INFO: Epoch 00200 | Time(s) 0.0542 | Val Loss 1.3366 | Val Acc 0.4558 | ETputs(KTEPS) 73224.96
2023-10-14 04:04:53,941 - tune.py [line:103] - INFO: Epoch 00220 | Time(s) 0.0544 | Val Loss 1.3348 | Val Acc 0.4615 | ETputs(KTEPS) 72963.82
